"Cookie Settings","Impostazioni cookie"
"Cookie Consent","Consenso cookie"
"Privacy Policy","Informativa sulla privacy"
"We use cookies to enhance your browsing experience, analyze site traffic, and personalize content. By clicking ""Accept All"", you consent to our use of cookies.","Utilizziamo i cookie per migliorare la tua esperienza di navigazione, analizzare il traffico del sito e personalizzare i contenuti. Cliccando su ""Accetta tutto"", acconsenti al nostro utilizzo dei cookie."
"Strictly Necessary","Strettamente necessari"
"Essential cookies required for the website to function properly. These cannot be disabled.","Cookie essenziali necessari per il corretto funzionamento del sito web. Non possono essere disabilitati."
"Analytics","Analisi"
"Help us understand how visitors interact with our website by collecting anonymous data.","Aiutaci a capire come i visitatori interagiscono con il nostro sito web raccogliendo dati anonimi."
"Marketing","Marketing"
"Used to deliver personalized advertisements and measure their effectiveness.","Utilizzati per fornire annunci personalizzati e misurarne l'efficacia."
"Preferences","Preferenze"
"Remember your preferences and personalize your experience.","Ricorda le tue preferenze e personalizza la tua esperienza."
"Always Active","Sempre attivo"
"Accept All","Accetta tutto"
"Reject All","Rifiuta tutto"
"Save Preferences","Salva preferenze"
"Customize","Personalizza"
"Back","Indietro"
"Show cookie details","Mostra dettagli cookie"
"Hide cookie details","Nascondi dettagli cookie"
"Toggle %1","Attiva/Disattiva %1"
"via %1","tramite %1"
"Google Tag Manager","Google Tag Manager"
"Tag management system that loads other tracking services","Sistema di gestione tag che carica altri servizi di tracciamento"
"Google Analytics 4","Google Analytics 4"
"Web analytics service that tracks and reports website traffic","Servizio di analisi web che traccia e riporta il traffico del sito"
"Facebook Pixel","Facebook Pixel"
"Tracks conversions and enables remarketing on Facebook and Instagram","Traccia le conversioni e abilita il remarketing su Facebook e Instagram"
"Microsoft Clarity","Microsoft Clarity"
"Behavioral analytics tool that captures user interactions","Strumento di analisi comportamentale che cattura le interazioni degli utenti"
"Hotjar","Hotjar"
"Heatmaps and session recordings to understand user behavior","Mappe di calore e registrazioni di sessione per comprendere il comportamento degli utenti"
"Matomo","Matomo"
"Privacy-focused web analytics platform","Piattaforma di analisi web incentrata sulla privacy"
"Distinguishes unique users","Distingue gli utenti unici"
"Maintains session state","Mantiene lo stato della sessione"
"Stores browser ID for Facebook advertising","Memorizza l'ID del browser per la pubblicita Facebook"
"Stores Clarity user ID","Memorizza l'ID utente Clarity"
"Connects pageviews into a session","Collega le visualizzazioni di pagina in una sessione"
"Stores unique visitor ID","Memorizza l'ID visitatore unico"
"Ensures data from subsequent visits are attributed to same user","Assicura che i dati delle visite successive siano attribuiti allo stesso utente"
"Temporary session cookie","Cookie di sessione temporaneo"
"2 years","2 anni"
"3 months","3 mesi"
"1 year","1 anno"
"1 day","1 giorno"
"13 months","13 mesi"
"30 minutes","30 minuti"
"Bottom Left","In basso a sinistra"
"Bottom Right","In basso a destra"
"Modal (Center Overlay)","Modale (overlay centrato)"
"Bar (Bottom Fixed)","Barra (fissa in basso)"
"Strict (Block until consent)","Rigido (Blocca fino al consenso)"
"Infrastructure (Load immediately, push consent to dataLayer)","Infrastruttura (Carica immediatamente, invia consenso a dataLayer)"
